Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,,Questions,,,,,,
4/17/2023,AQS,60371302,1,13.6,ug/m3 LC,54,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
4/18/2023,AQS,60371302,1,8.7,ug/m3 LC,36,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
4/19/2023,AQS,60371302,1,14.5,ug/m3 LC,56,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
4/20/2023,AQS,60371302,1,17.6,ug/m3 LC,63,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
4/21/2023,AQS,60371302,1,18.4,ug/m3 LC,64,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
4/22/2023,AQS,60371302,1,11.9,ug/m3 LC,50,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
4/23/2023,AQS,60371302,1,12.5,ug/m3 LC,52,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
4/24/2023,AQS,60371302,1,11.8,ug/m3 LC,49,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
4/25/2023,AQS,60371302,1,9.9,ug/m3 LC,41,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
4/26/2023,AQS,60371302,1,15.8,ug/m3 LC,59,Compton,1,100,88101,PM2.5 - Local Conditions,31080,"Los Angeles-Long Beach-Anaheim, CA",06,California,037,Los Angeles,33.901389,-118.205,,,,,,,,
